??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:01:800,4.752,0.490,1.9,1.9,null
00:00:01:810,4.752,0.490,1.9,1.9,null
00:00:01:820,4.752,0.490,1.9,1.9,null
00:00:01:830,4.752,0.490,1.9,1.9,null
00:00:01:840,4.752,0.490,1.9,1.9,null
00:00:01:850,4.752,0.490,1.9,1.9,null
00:00:01:860,4.752,0.490,1.9,1.9,null
00:00:01:870,4.752,0.490,1.9,1.9,null
00:00:01:880,4.752,0.490,1.9,1.9,null
00:00:01:890,4.752,0.490,1.9,1.9,null
00:00:01:900,4.752,0.490,1.9,1.9,null
00:00:01:910,4.752,0.490,1.9,1.9,null
00:00:01:920,4.752,0.490,1.9,1.9,null
00:00:01:930,4.752,0.490,1.9,1.9,null
00:00:01:940,4.752,0.490,1.9,1.9,null
00:00:01:950,4.752,0.490,1.9,1.9,null
00:00:01:960,4.752,0.490,1.9,1.9,null
00:00:01:970,4.752,0.490,1.9,1.9,null
00:00:01:980,4.752,0.490,1.9,1.9,null
00:00:01:990,4.752,0.492,1.9,1.9,null
00:00:02:000,4.752,0.492,1.9,1.9,null
00:00:02:010,4.752,0.492,1.9,1.9,null
00:00:02:020,4.752,0.492,1.9,1.9,null
00:00:02:030,4.752,0.492,1.9,1.9,null
00:00:02:040,4.752,0.492,1.9,1.9,null
00:00:02:050,4.752,0.492,1.9,1.9,null
00:00:02:060,4.752,0.492,1.9,1.9,null
00:00:02:070,4.752,0.492,1.9,1.9,null
00:00:02:080,4.752,0.492,1.9,1.9,null
00:00:02:090,4.752,0.492,1.9,1.9,null
00:00:02:100,4.752,0.492,1.9,1.9,null
00:00:02:110,4.752,0.492,1.9,1.9,null
00:00:02:120,4.752,0.492,1.9,1.9,null
00:00:02:130,4.752,0.492,1.9,1.9,null
00:00:02:140,4.752,0.492,1.9,1.9,null
00:00:02:150,4.752,0.492,1.9,1.9,null
00:00:02:160,4.752,0.492,1.9,1.9,null
00:00:02:170,4.752,0.492,1.9,1.9,null
00:00:02:180,4.752,0.492,1.9,1.9,null
00:00:02:190,4.752,0.492,1.9,1.9,null
00:00:02:200,4.752,0.492,1.9,1.9,null
00:00:02:210,4.752,0.492,1.9,1.9,null
00:00:02:220,4.752,0.492,1.9,1.9,null
00:00:02:230,4.752,0.492,1.9,1.9,null
00:00:02:240,4.752,0.492,1.9,1.9,null
00:00:02:250,4.752,0.492,1.9,1.9,null
00:00:02:260,4.752,0.492,1.9,1.9,null
00:00:02:270,4.752,0.492,1.9,1.9,null
00:00:02:280,4.752,0.492,1.9,1.9,null
00:00:02:290,4.752,0.492,1.9,1.9,null
00:00:02:300,4.752,0.492,1.9,1.9,null
00:00:02:310,4.752,0.492,1.9,1.9,null
00:00:02:320,4.752,0.492,1.9,1.9,null
00:00:02:330,4.752,0.492,1.9,1.9,null
00:00:02:340,4.752,0.492,1.9,1.9,null
00:00:02:350,4.752,0.492,1.9,1.9,null
00:00:02:360,4.752,0.492,1.9,1.9,null
00:00:02:370,4.752,0.492,1.9,1.9,null
00:00:02:380,4.752,0.492,1.9,1.9,null
00:00:02:390,4.752,0.492,1.9,1.9,null
00:00:02:400,4.752,0.492,1.9,1.9,null
00:00:02:410,4.752,0.492,1.9,1.9,null
00:00:02:420,4.752,0.492,1.9,1.9,null
00:00:02:430,4.752,0.492,1.9,1.9,null
00:00:02:440,4.752,0.492,1.9,1.9,null
00:00:02:450,4.752,0.492,1.9,1.9,null
00:00:02:460,4.752,0.492,1.9,1.9,null
00:00:02:470,4.752,0.492,1.9,1.9,null
00:00:02:480,4.752,0.492,1.9,1.9,null
00:00:02:490,4.752,0.492,1.9,1.9,null
00:00:02:500,4.752,0.492,1.9,1.9,null
00:00:02:510,4.752,0.492,1.9,1.9,null
00:00:02:520,4.752,0.492,1.9,1.9,null
00:00:02:530,4.752,0.492,1.9,1.9,null
00:00:02:540,4.752,0.492,1.9,1.9,null
00:00:02:550,4.752,0.492,1.9,1.9,null
00:00:02:560,4.752,0.492,1.9,1.9,null
00:00:02:570,4.752,0.492,1.9,1.9,null
00:00:02:580,4.752,0.492,1.9,1.9,null
00:00:02:590,4.752,0.492,1.9,1.9,null
00:00:02:600,4.752,0.493,1.9,1.9,null
00:00:02:610,4.752,0.493,1.9,1.9,null
00:00:02:620,4.752,0.493,1.9,1.9,null
00:00:02:630,4.752,0.493,1.9,1.9,null
00:00:02:640,4.752,0.493,1.9,1.9,null
00:00:02:650,4.752,0.493,1.9,1.9,null
00:00:02:660,4.752,0.493,1.9,1.9,null
00:00:02:670,4.752,0.493,1.9,1.9,null
00:00:02:680,4.752,0.493,1.9,1.9,null
00:00:02:690,4.752,0.493,1.9,1.9,null
00:00:02:700,4.752,0.493,1.9,1.9,null
00:00:02:710,4.752,0.493,1.9,1.9,null
00:00:02:720,4.752,0.493,1.9,1.9,null
00:00:02:730,4.752,0.493,1.9,1.9,null
00:00:02:740,4.752,0.493,1.9,1.9,null
00:00:02:750,4.752,0.493,1.9,1.9,null
00:00:02:760,4.752,0.493,1.9,1.9,null
00:00:02:770,4.752,0.493,1.9,1.9,null
00:00:02:780,4.752,0.493,1.9,1.9,null
00:00:02:790,4.752,0.493,1.9,1.9,null
00:00:02:800,4.752,0.493,1.9,1.9,null
00:00:02:810,4.752,0.493,1.9,1.9,null
00:00:02:820,4.752,0.493,1.9,1.9,null
00:00:02:830,4.752,0.493,1.9,1.9,null
00:00:02:840,4.752,0.493,1.9,1.9,null
00:00:02:850,4.752,0.493,1.9,1.9,null
00:00:02:860,4.752,0.493,1.9,1.9,null
00:00:02:870,4.752,0.493,1.9,1.9,null
00:00:02:880,4.752,0.493,1.9,1.9,null
00:00:02:890,4.752,0.493,1.9,1.9,null
00:00:02:900,4.751,0.493,1.9,1.9,null
00:00:02:910,4.751,0.493,1.9,1.9,null
00:00:02:920,4.751,0.493,1.9,1.9,null
00:00:02:930,4.751,0.493,1.9,1.9,null
00:00:02:940,4.751,0.493,1.9,1.9,null
00:00:02:950,4.751,0.493,1.9,1.9,null
00:00:02:960,4.751,0.493,1.9,1.9,null
00:00:02:970,4.751,0.493,1.9,1.9,null
00:00:02:980,4.751,0.493,1.9,1.9,null
00:00:02:990,4.751,0.493,1.9,1.9,null
00:00:03:000,4.751,0.493,1.9,1.9,null
00:00:03:010,4.751,0.493,1.9,1.9,null
00:00:03:020,4.751,0.493,1.9,1.9,null
00:00:03:030,4.751,0.493,1.9,1.9,null
00:00:03:040,4.751,0.493,1.9,1.9,null
00:00:03:050,4.751,0.493,1.9,1.9,null
00:00:03:060,4.751,0.493,1.9,1.9,null
00:00:03:070,4.751,0.493,1.9,1.9,null
00:00:03:080,4.751,0.493,1.9,1.9,null
00:00:03:090,4.751,0.493,1.9,1.9,null
00:00:03:100,4.751,0.493,1.9,1.9,null
00:00:03:110,4.751,0.493,1.9,1.9,null
00:00:03:120,4.751,0.493,1.9,1.9,null
00:00:03:130,4.751,0.493,1.9,1.9,null
00:00:03:140,4.751,0.493,1.9,1.9,null
00:00:03:150,4.751,0.493,1.9,1.9,null
00:00:03:160,4.751,0.493,1.9,1.9,null
00:00:03:170,4.751,0.493,1.9,1.9,null
00:00:03:180,4.751,0.493,1.9,1.9,null
00:00:03:190,4.751,0.493,1.9,1.9,null
00:00:03:200,4.751,0.494,1.9,1.9,null
00:00:03:210,4.751,0.494,1.9,1.9,null
00:00:03:220,4.751,0.494,1.9,1.9,null
00:00:03:230,4.751,0.494,1.9,1.9,null
00:00:03:240,4.751,0.494,1.9,1.9,null
00:00:03:250,4.751,0.494,1.9,1.9,null
00:00:03:260,4.751,0.494,1.9,1.9,null
00:00:03:270,4.751,0.494,1.9,1.9,null
00:00:03:280,4.751,0.494,1.9,1.9,null
00:00:03:290,4.751,0.494,1.9,1.9,null
00:00:03:300,4.751,0.494,1.9,1.9,null
00:00:03:310,4.751,0.494,1.9,1.9,null
00:00:03:320,4.751,0.494,1.9,1.9,null
00:00:03:330,4.751,0.494,1.9,1.9,null
00:00:03:340,4.751,0.494,1.9,1.9,null
00:00:03:350,4.751,0.494,1.9,1.9,null
00:00:03:360,4.751,0.494,1.9,1.9,null
00:00:03:370,4.751,0.494,1.9,1.9,null
00:00:03:380,4.751,0.494,1.9,1.9,null
00:00:03:390,4.751,0.494,1.9,1.9,null
00:00:03:400,4.751,0.494,1.9,1.9,null
00:00:03:410,4.751,0.494,1.9,1.9,null
00:00:03:420,4.751,0.494,1.9,1.9,null
00:00:03:430,4.751,0.494,1.9,1.9,null
00:00:03:440,4.751,0.494,1.9,1.9,null
00:00:03:450,4.751,0.494,1.9,1.9,null
00:00:03:460,4.751,0.494,1.9,1.9,null
00:00:03:470,4.751,0.494,1.9,1.9,null
00:00:03:480,4.751,0.494,1.9,1.9,null
00:00:03:490,4.751,0.494,1.9,1.9,null
00:00:03:500,4.750,0.494,1.9,1.9,null
00:00:03:510,4.750,0.494,1.9,1.9,null
00:00:03:520,4.750,0.494,1.9,1.9,null
00:00:03:530,4.750,0.494,1.9,1.9,null
00:00:03:540,4.750,0.494,1.9,1.9,null
00:00:03:550,4.750,0.494,1.9,1.9,null
00:00:03:560,4.750,0.494,1.9,1.9,null
00:00:03:570,4.750,0.494,1.9,1.9,null
00:00:03:580,4.750,0.494,1.9,1.9,null
00:00:03:590,4.750,0.494,1.9,1.9,null
00:00:03:600,4.750,0.494,1.9,1.9,null
00:00:03:610,4.750,0.494,1.9,1.9,null
00:00:03:620,4.750,0.494,1.9,1.9,null
00:00:03:630,4.750,0.494,1.9,1.9,null
00:00:03:640,4.750,0.494,1.9,1.9,null
00:00:03:650,4.750,0.494,1.9,1.9,null
00:00:03:660,4.750,0.494,1.9,1.9,null
00:00:03:670,4.750,0.494,1.9,1.9,null
00:00:03:680,4.750,0.494,1.9,1.9,null
00:00:03:690,4.750,0.494,1.9,1.9,null
00:00:03:700,4.750,0.494,1.9,1.9,null
00:00:03:710,4.750,0.494,1.9,1.9,null
00:00:03:720,4.750,0.494,1.9,1.9,null
00:00:03:730,4.750,0.494,1.9,1.9,null
00:00:03:740,4.750,0.494,1.9,1.9,null
00:00:03:750,4.750,0.494,1.9,1.9,null
00:00:03:760,4.750,0.494,1.9,1.9,null
00:00:03:770,4.750,0.494,1.9,1.9,null
00:00:03:780,4.750,0.494,1.9,1.9,null
00:00:03:790,4.750,0.494,1.9,1.9,null
00:00:03:800,4.750,0.494,1.9,1.9,null
00:00:03:810,4.750,0.494,1.9,1.9,null
00:00:03:820,4.750,0.494,1.9,1.9,null
00:00:03:830,4.750,0.494,1.9,1.9,null
00:00:03:840,4.750,0.494,1.9,1.9,null
00:00:03:850,4.750,0.494,1.9,1.9,null
00:00:03:860,4.750,0.494,1.9,1.9,null
00:00:03:870,4.750,0.494,1.9,1.9,null
00:00:03:880,4.750,0.494,1.9,1.9,null
00:00:03:890,4.750,0.494,1.9,1.9,null
00:00:03:900,4.750,0.494,1.9,1.9,null
00:00:03:910,4.750,0.494,1.9,1.9,null
00:00:03:920,4.750,0.494,1.9,1.9,null
00:00:03:930,4.750,0.494,1.9,1.9,null
00:00:03:940,4.750,0.494,1.9,1.9,null
00:00:03:950,4.750,0.494,1.9,1.9,null
00:00:03:960,4.750,0.494,1.9,1.9,null
00:00:03:970,4.750,0.494,1.9,1.9,null
00:00:03:980,4.750,0.494,1.9,1.9,null
00:00:03:990,4.750,0.494,1.9,1.9,null
00:00:04:000,4.750,0.494,1.9,1.9,null
00:00:04:010,4.750,0.494,1.9,1.9,null
00:00:04:020,4.750,0.494,1.9,1.9,null
00:00:04:030,4.750,0.494,1.9,1.9,null
00:00:04:040,4.750,0.494,1.9,1.9,null
00:00:04:050,4.750,0.494,1.9,1.9,null
00:00:04:060,4.750,0.494,1.9,1.9,null
00:00:04:070,4.750,0.494,1.9,1.9,null
00:00:04:080,4.750,0.494,1.9,1.9,null
00:00:04:090,4.750,0.494,1.9,1.9,null
00:00:04:100,4.750,0.495,1.9,1.9,null
00:00:04:110,4.750,0.495,1.9,1.9,null
00:00:04:120,4.750,0.495,1.9,1.9,null
00:00:04:130,4.750,0.495,1.9,1.9,null
00:00:04:140,4.750,0.495,1.9,1.9,null
00:00:04:150,4.750,0.495,1.9,1.9,null
00:00:04:160,4.750,0.495,1.9,1.9,null
00:00:04:170,4.750,0.495,1.9,1.9,null
00:00:04:180,4.750,0.495,1.9,1.9,null
00:00:04:190,4.750,0.495,1.9,1.9,null
00:00:04:200,4.750,0.495,1.9,1.9,null
00:00:04:210,4.750,0.495,1.9,1.9,null
00:00:04:220,4.750,0.495,1.9,1.9,null
00:00:04:230,4.750,0.495,1.9,1.9,null
00:00:04:240,4.750,0.495,1.9,1.9,null
00:00:04:250,4.750,0.495,1.9,1.9,null
00:00:04:260,4.750,0.495,1.9,1.9,null
00:00:04:270,4.750,0.495,1.9,1.9,null
00:00:04:280,4.750,0.495,1.9,1.9,null
00:00:04:290,4.750,0.495,1.9,1.9,null
00:00:04:300,4.750,0.495,1.9,1.9,null
00:00:04:310,4.750,0.495,1.9,1.9,null
00:00:04:320,4.750,0.495,1.9,1.9,null
00:00:04:330,4.750,0.495,1.9,1.9,null
00:00:04:340,4.750,0.495,1.9,1.9,null
00:00:04:350,4.750,0.495,1.9,1.9,null
00:00:04:360,4.750,0.495,1.9,1.9,null
00:00:04:370,4.750,0.495,1.9,1.9,null
00:00:04:380,4.750,0.495,1.9,1.9,null
00:00:04:390,4.750,0.495,1.9,1.9,null
00:00:04:400,4.750,0.495,1.9,1.9,null
00:00:04:410,4.750,0.495,1.9,1.9,null
00:00:04:420,4.750,0.495,1.9,1.9,null
00:00:04:430,4.750,0.495,1.9,1.9,null
00:00:04:440,4.750,0.495,1.9,1.9,null
00:00:04:450,4.750,0.495,1.9,1.9,null
00:00:04:460,4.750,0.495,1.9,1.9,null
00:00:04:470,4.750,0.495,1.9,1.9,null
00:00:04:480,4.750,0.495,1.9,1.9,null
00:00:04:490,4.750,0.495,1.9,1.9,null
00:00:04:500,4.750,0.495,1.9,1.9,null
00:00:04:510,4.750,0.495,1.9,1.9,null
00:00:04:520,4.750,0.495,1.9,1.9,null
00:00:04:530,4.750,0.495,1.9,1.9,null
00:00:04:540,4.750,0.495,1.9,1.9,null
00:00:04:550,4.750,0.495,1.9,1.9,null
00:00:04:560,4.750,0.495,1.9,1.9,null
00:00:04:570,4.750,0.495,1.9,1.9,null
00:00:04:580,4.750,0.495,1.9,1.9,null
00:00:04:590,4.750,0.495,1.9,1.9,null
00:00:04:600,4.750,0.495,1.9,1.9,null
00:00:04:610,4.750,0.495,1.9,1.9,null
00:00:04:620,4.750,0.495,1.9,1.9,null
00:00:04:630,4.750,0.495,1.9,1.9,null
00:00:04:640,4.750,0.495,1.9,1.9,null
00:00:04:650,4.750,0.495,1.9,1.9,null
00:00:04:660,4.750,0.495,1.9,1.9,null
00:00:04:670,4.750,0.495,1.9,1.9,null
00:00:04:680,4.750,0.495,1.9,1.9,null
00:00:04:690,4.750,0.495,1.9,1.9,null
00:00:04:700,4.750,0.495,1.9,1.9,null
00:00:04:710,4.750,0.495,1.9,1.9,null
00:00:04:720,4.750,0.495,1.9,1.9,null
00:00:04:730,4.750,0.495,1.9,1.9,null
00:00:04:740,4.750,0.495,1.9,1.9,null
00:00:04:750,4.750,0.495,1.9,1.9,null
00:00:04:760,4.750,0.495,1.9,1.9,null
00:00:04:770,4.750,0.495,1.9,1.9,null
00:00:04:780,4.750,0.495,1.9,1.9,null
00:00:04:790,4.750,0.495,1.9,1.9,null
