??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:01:210,4.749,0.493,1.9,1.9,null
00:00:01:220,4.749,0.493,1.9,1.9,null
00:00:01:230,4.749,0.493,1.9,1.9,null
00:00:01:240,4.749,0.493,1.9,1.9,null
00:00:01:250,4.749,0.493,1.9,1.9,null
00:00:01:260,4.749,0.493,1.9,1.9,null
00:00:01:270,4.749,0.493,1.9,1.9,null
00:00:01:280,4.749,0.493,1.9,1.9,null
00:00:01:290,4.749,0.493,1.9,1.9,null
00:00:01:300,4.749,0.493,1.9,1.9,null
00:00:01:310,4.749,0.493,1.9,1.9,null
00:00:01:320,4.749,0.493,1.9,1.9,null
00:00:01:330,4.749,0.493,1.9,1.9,null
00:00:01:340,4.749,0.493,1.9,1.9,null
00:00:01:350,4.749,0.493,1.9,1.9,null
00:00:01:360,4.749,0.493,1.9,1.9,null
00:00:01:370,4.749,0.493,1.9,1.9,null
00:00:01:380,4.749,0.493,1.9,1.9,null
00:00:01:390,4.752,0.492,1.9,1.9,null
00:00:01:400,4.752,0.492,1.9,1.9,null
00:00:01:410,4.752,0.492,1.9,1.9,null
00:00:01:420,4.752,0.492,1.9,1.9,null
00:00:01:430,4.752,0.492,1.9,1.9,null
00:00:01:440,4.752,0.492,1.9,1.9,null
00:00:01:450,4.752,0.492,1.9,1.9,null
00:00:01:460,4.752,0.492,1.9,1.9,null
00:00:01:470,4.752,0.492,1.9,1.9,null
00:00:01:480,4.752,0.492,1.9,1.9,null
00:00:01:490,4.752,0.492,1.9,1.9,null
00:00:01:500,4.752,0.492,1.9,1.9,null
00:00:01:510,4.752,0.492,1.9,1.9,null
00:00:01:520,4.752,0.492,1.9,1.9,null
00:00:01:530,4.752,0.492,1.9,1.9,null
00:00:01:540,4.752,0.492,1.9,1.9,null
00:00:01:550,4.752,0.492,1.9,1.9,null
00:00:01:560,4.752,0.492,1.9,1.9,null
00:00:01:570,4.752,0.492,1.9,1.9,null
00:00:01:580,4.752,0.492,1.9,1.9,null
00:00:01:590,4.752,0.492,1.9,1.9,null
