??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:01:25:650,4.749,0.496,1.9,1.9,null
00:01:25:660,4.749,0.496,1.9,1.9,null
00:01:25:670,4.749,0.496,1.9,1.9,null
00:01:25:680,4.749,0.496,1.9,1.9,null
00:01:25:690,4.749,0.496,1.9,1.9,null
00:01:25:700,4.749,0.496,1.9,1.9,null
00:01:25:710,4.749,0.496,1.9,1.9,null
00:01:25:720,4.749,0.496,1.9,1.9,null
00:01:25:730,4.749,0.496,1.9,1.9,null
00:01:25:740,4.749,0.496,1.9,1.9,null
00:01:25:750,4.749,0.496,1.9,1.9,null
00:01:25:760,4.749,0.496,1.9,1.9,null
00:01:25:770,4.749,0.496,1.9,1.9,null
00:01:25:780,4.749,0.496,1.9,1.9,null
00:01:25:790,4.749,0.496,1.9,1.9,null
00:01:25:800,4.749,0.496,1.9,1.9,null
00:01:25:810,4.749,0.496,1.9,1.9,null
00:01:25:820,4.749,0.496,1.9,1.9,null
00:01:25:830,4.749,0.496,1.9,1.9,null
00:01:25:840,4.749,0.496,1.9,1.9,null
00:01:25:850,4.749,0.496,1.9,1.9,null
00:01:25:860,4.749,0.496,1.9,1.9,null
00:01:25:870,4.749,0.496,1.9,1.9,null
00:01:25:880,4.749,0.496,1.9,1.9,null
00:01:25:890,4.749,0.496,1.9,1.9,null
00:01:25:900,4.749,0.496,1.9,1.9,null
00:01:25:910,4.749,0.496,1.9,1.9,null
00:01:25:920,4.749,0.496,1.9,1.9,null
00:01:25:930,4.749,0.496,1.9,1.9,null
00:01:25:940,4.749,0.496,1.9,1.9,null
00:01:25:950,4.749,0.496,1.9,1.9,null
00:01:25:960,4.749,0.496,1.9,1.9,null
00:01:25:970,4.749,0.496,1.9,1.9,null
00:01:25:980,4.749,0.496,1.9,1.9,null
00:01:25:990,4.749,0.496,1.9,1.9,null
00:01:26:000,4.749,0.496,1.9,1.9,null
00:01:26:010,4.749,0.496,1.9,1.9,null
00:01:26:020,4.749,0.496,1.9,1.9,null
00:01:26:030,4.749,0.496,1.9,1.9,null
00:01:26:040,4.749,0.496,1.9,1.9,null
00:01:26:050,4.749,0.496,1.9,1.9,null
00:01:26:060,4.749,0.496,1.9,1.9,null
00:01:26:070,4.749,0.496,1.9,1.9,null
00:01:26:080,4.749,0.496,1.9,1.9,null
00:01:26:090,4.749,0.496,1.9,1.9,null
00:01:26:100,4.749,0.496,1.9,1.9,null
00:01:26:110,4.749,0.496,1.9,1.9,null
00:01:26:120,4.749,0.496,1.9,1.9,null
00:01:26:130,4.749,0.496,1.9,1.9,null
00:01:26:140,4.749,0.496,1.9,1.9,null
00:01:26:150,4.749,0.496,1.9,1.9,null
00:01:26:160,4.749,0.496,1.9,1.9,null
00:01:26:170,4.749,0.496,1.9,1.9,null
00:01:26:180,4.749,0.496,1.9,1.9,null
00:01:26:190,4.749,0.496,1.9,1.9,null
00:01:26:200,4.749,0.496,1.9,1.9,null
00:01:26:210,4.749,0.496,1.9,1.9,null
00:01:26:220,4.749,0.496,1.9,1.9,null
00:01:26:230,4.749,0.496,1.9,1.9,null
00:01:26:240,4.749,0.496,1.9,1.9,null
00:01:26:250,4.749,0.496,1.9,1.9,null
00:01:26:260,4.749,0.496,1.9,1.9,null
00:01:26:270,4.749,0.496,1.9,1.9,null
00:01:26:280,4.749,0.496,1.9,1.9,null
00:01:26:290,4.749,0.496,1.9,1.9,null
00:01:26:300,4.749,0.496,1.9,1.9,null
00:01:26:310,4.749,0.496,1.9,1.9,null
00:01:26:320,4.749,0.496,1.9,1.9,null
00:01:26:330,4.749,0.496,1.9,1.9,null
00:01:26:340,4.749,0.496,1.9,1.9,null
00:01:26:350,4.749,0.496,1.9,1.9,null
00:01:26:360,4.749,0.496,1.9,1.9,null
00:01:26:370,4.749,0.496,1.9,1.9,null
00:01:26:380,4.749,0.496,1.9,1.9,null
00:01:26:390,4.749,0.496,1.9,1.9,null
00:01:26:400,4.749,0.496,1.9,1.9,null
00:01:26:410,4.749,0.496,1.9,1.9,null
00:01:26:420,4.749,0.496,1.9,1.9,null
00:01:26:430,4.749,0.496,1.9,1.9,null
00:01:26:440,4.749,0.496,1.9,1.9,null
00:01:26:450,4.749,0.496,1.9,1.9,null
00:01:26:460,4.749,0.496,1.9,1.9,null
00:01:26:470,4.749,0.496,1.9,1.9,null
00:01:26:480,4.749,0.496,1.9,1.9,null
00:01:26:490,4.749,0.496,1.9,1.9,null
00:01:26:500,4.749,0.496,1.9,1.9,null
00:01:26:510,4.749,0.496,1.9,1.9,null
00:01:26:520,4.749,0.496,1.9,1.9,null
00:01:26:530,4.749,0.496,1.9,1.9,null
00:01:26:540,4.749,0.496,1.9,1.9,null
00:01:26:550,4.749,0.496,1.9,1.9,null
00:01:26:560,4.749,0.496,1.9,1.9,null
00:01:26:570,4.749,0.496,1.9,1.9,null
00:01:26:580,4.749,0.496,1.9,1.9,null
00:01:26:590,4.749,0.496,1.9,1.9,null
00:01:26:600,4.749,0.496,1.9,1.9,null
00:01:26:610,4.749,0.496,1.9,1.9,null
00:01:26:620,4.749,0.496,1.9,1.9,null
00:01:26:630,4.749,0.496,1.9,1.9,null
00:01:26:640,4.749,0.496,1.9,1.9,null
00:01:26:650,4.749,0.496,1.9,1.9,null
00:01:26:660,4.749,0.496,1.9,1.9,null
00:01:26:670,4.749,0.496,1.9,1.9,null
00:01:26:680,4.749,0.496,1.9,1.9,null
00:01:26:690,4.749,0.496,1.9,1.9,null
00:01:26:700,4.749,0.496,1.9,1.9,null
00:01:26:710,4.749,0.496,1.9,1.9,null
00:01:26:720,4.749,0.496,1.9,1.9,null
00:01:26:730,4.749,0.496,1.9,1.9,null
00:01:26:740,4.749,0.496,1.9,1.9,null
00:01:26:750,4.749,0.496,1.9,1.9,null
00:01:26:760,4.749,0.496,1.9,1.9,null
00:01:26:770,4.749,0.496,1.9,1.9,null
00:01:26:780,4.749,0.496,1.9,1.9,null
00:01:26:790,4.749,0.496,1.9,1.9,null
00:01:26:800,4.749,0.496,1.9,1.9,null
00:01:26:810,4.749,0.496,1.9,1.9,null
00:01:26:820,4.749,0.496,1.9,1.9,null
00:01:26:830,4.749,0.496,1.9,1.9,null
00:01:26:840,4.749,0.496,1.9,1.9,null
00:01:26:850,4.749,0.496,1.9,1.9,null
00:01:26:860,4.749,0.496,1.9,1.9,null
00:01:26:870,4.749,0.496,1.9,1.9,null
00:01:26:880,4.749,0.496,1.9,1.9,null
00:01:26:890,4.749,0.496,1.9,1.9,null
00:01:26:900,4.749,0.496,1.9,1.9,null
00:01:26:910,4.749,0.496,1.9,1.9,null
00:01:26:920,4.749,0.496,1.9,1.9,null
00:01:26:930,4.749,0.496,1.9,1.9,null
00:01:26:940,4.749,0.496,1.9,1.9,null
00:01:26:950,4.749,0.496,1.9,1.9,null
00:01:26:960,4.749,0.496,1.9,1.9,null
00:01:26:970,4.749,0.496,1.9,1.9,null
00:01:26:980,4.749,0.496,1.9,1.9,null
00:01:26:990,4.749,0.496,1.9,1.9,null
00:01:27:000,4.749,0.496,1.9,1.9,null
00:01:27:010,4.749,0.496,1.9,1.9,null
00:01:27:020,4.749,0.496,1.9,1.9,null
00:01:27:030,4.749,0.496,1.9,1.9,null
00:01:27:040,4.749,0.496,1.9,1.9,null
00:01:27:050,4.749,0.496,1.9,1.9,null
00:01:27:060,4.749,0.496,1.9,1.9,null
00:01:27:070,4.749,0.496,1.9,1.9,null
00:01:27:080,4.749,0.496,1.9,1.9,null
00:01:27:090,4.749,0.496,1.9,1.9,null
00:01:27:100,4.749,0.496,1.9,1.9,null
00:01:27:110,4.749,0.496,1.9,1.9,null
00:01:27:120,4.749,0.496,1.9,1.9,null
00:01:27:130,4.749,0.496,1.9,1.9,null
00:01:27:140,4.749,0.496,1.9,1.9,null
00:01:27:150,4.749,0.496,1.9,1.9,null
00:01:27:160,4.749,0.496,1.9,1.9,null
00:01:27:170,4.749,0.496,1.9,1.9,null
00:01:27:180,4.749,0.496,1.9,1.9,null
00:01:27:190,4.749,0.496,1.9,1.9,null
00:01:27:200,4.749,0.496,1.9,1.9,null
00:01:27:210,4.749,0.496,1.9,1.9,null
00:01:27:220,4.749,0.496,1.9,1.9,null
00:01:27:230,4.749,0.496,1.9,1.9,null
00:01:27:240,4.749,0.496,1.9,1.9,null
00:01:27:250,4.749,0.496,1.9,1.9,null
00:01:27:260,4.749,0.496,1.9,1.9,null
00:01:27:270,4.749,0.496,1.9,1.9,null
00:01:27:280,4.749,0.496,1.9,1.9,null
00:01:27:290,4.749,0.496,1.9,1.9,null
00:01:27:300,4.749,0.496,1.9,1.9,null
00:01:27:310,4.749,0.496,1.9,1.9,null
00:01:27:320,4.749,0.496,1.9,1.9,null
00:01:27:330,4.749,0.496,1.9,1.9,null
00:01:27:340,4.749,0.496,1.9,1.9,null
00:01:27:350,4.749,0.496,1.9,1.9,null
00:01:27:360,4.749,0.496,1.9,1.9,null
00:01:27:370,4.749,0.496,1.9,1.9,null
00:01:27:380,4.749,0.496,1.9,1.9,null
00:01:27:390,4.749,0.496,1.9,1.9,null
00:01:27:400,4.749,0.496,1.9,1.9,null
00:01:27:410,4.749,0.496,1.9,1.9,null
00:01:27:420,4.749,0.496,1.9,1.9,null
00:01:27:430,4.749,0.496,1.9,1.9,null
00:01:27:440,4.749,0.496,1.9,1.9,null
00:01:27:450,4.749,0.496,1.9,1.9,null
00:01:27:460,4.749,0.496,1.9,1.9,null
00:01:27:470,4.749,0.496,1.9,1.9,null
00:01:27:480,4.749,0.496,1.9,1.9,null
00:01:27:490,4.749,0.496,1.9,1.9,null
00:01:27:500,4.749,0.496,1.9,1.9,null
00:01:27:510,4.749,0.496,1.9,1.9,null
00:01:27:520,4.749,0.496,1.9,1.9,null
00:01:27:530,4.749,0.496,1.9,1.9,null
00:01:27:540,4.749,0.496,1.9,1.9,null
00:01:27:550,4.749,0.496,1.9,1.9,null
00:01:27:560,4.749,0.496,1.9,1.9,null
00:01:27:570,4.749,0.496,1.9,1.9,null
00:01:27:580,4.749,0.496,1.9,1.9,null
00:01:27:590,4.749,0.496,1.9,1.9,null
00:01:27:600,4.749,0.496,1.9,1.9,null
00:01:27:610,4.749,0.496,1.9,1.9,null
00:01:27:620,4.749,0.496,1.9,1.9,null
00:01:27:630,4.749,0.496,1.9,1.9,null
00:01:27:640,4.749,0.496,1.9,1.9,null
00:01:27:650,4.749,0.496,1.9,1.9,null
00:01:27:660,4.749,0.496,1.9,1.9,null
00:01:27:670,4.749,0.496,1.9,1.9,null
00:01:27:680,4.749,0.496,1.9,1.9,null
00:01:27:690,4.749,0.496,1.9,1.9,null
00:01:27:700,4.749,0.496,1.9,1.9,null
00:01:27:710,4.749,0.496,1.9,1.9,null
00:01:27:720,4.749,0.496,1.9,1.9,null
00:01:27:730,4.749,0.496,1.9,1.9,null
00:01:27:740,4.749,0.496,1.9,1.9,null
00:01:27:750,4.749,0.496,1.9,1.9,null
00:01:27:760,4.749,0.496,1.9,1.9,null
00:01:27:770,4.749,0.496,1.9,1.9,null
00:01:27:780,4.749,0.496,1.9,1.9,null
00:01:27:790,4.749,0.496,1.9,1.9,null
00:01:27:800,4.749,0.496,1.9,1.9,null
00:01:27:810,4.749,0.496,1.9,1.9,null
00:01:27:820,4.749,0.496,1.9,1.9,null
00:01:27:830,4.749,0.496,1.9,1.9,null
00:01:27:840,4.749,0.496,1.9,1.9,null
00:01:27:850,4.749,0.496,1.9,1.9,null
00:01:27:860,4.749,0.496,1.9,1.9,null
00:01:27:870,4.749,0.496,1.9,1.9,null
00:01:27:880,4.749,0.496,1.9,1.9,null
00:01:27:890,4.749,0.496,1.9,1.9,null
00:01:27:900,4.749,0.496,1.9,1.9,null
00:01:27:910,4.749,0.496,1.9,1.9,null
00:01:27:920,4.749,0.496,1.9,1.9,null
00:01:27:930,4.749,0.496,1.9,1.9,null
00:01:27:940,4.749,0.496,1.9,1.9,null
00:01:27:950,4.749,0.496,1.9,1.9,null
00:01:27:960,4.749,0.496,1.9,1.9,null
00:01:27:970,4.749,0.496,1.9,1.9,null
00:01:27:980,4.749,0.496,1.9,1.9,null
00:01:27:990,4.749,0.496,1.9,1.9,null
00:01:28:000,4.749,0.496,1.9,1.9,null
00:01:28:010,4.749,0.496,1.9,1.9,null
00:01:28:020,4.749,0.496,1.9,1.9,null
00:01:28:030,4.749,0.496,1.9,1.9,null
00:01:28:040,4.749,0.496,1.9,1.9,null
00:01:28:050,4.749,0.496,1.9,1.9,null
00:01:28:060,4.749,0.496,1.9,1.9,null
00:01:28:070,4.749,0.496,1.9,1.9,null
00:01:28:080,4.749,0.496,1.9,1.9,null
00:01:28:090,4.749,0.496,1.9,1.9,null
00:01:28:100,4.749,0.496,1.9,1.9,null
00:01:28:110,4.749,0.496,1.9,1.9,null
00:01:28:120,4.749,0.496,1.9,1.9,null
00:01:28:130,4.749,0.496,1.9,1.9,null
00:01:28:140,4.749,0.496,1.9,1.9,null
00:01:28:150,4.749,0.496,1.9,1.9,null
00:01:28:160,4.749,0.496,1.9,1.9,null
00:01:28:170,4.749,0.496,1.9,1.9,null
00:01:28:180,4.749,0.496,1.9,1.9,null
00:01:28:190,4.749,0.496,1.9,1.9,null
00:01:28:200,4.749,0.496,1.9,1.9,null
00:01:28:210,4.749,0.496,1.9,1.9,null
00:01:28:220,4.749,0.496,1.9,1.9,null
00:01:28:230,4.749,0.496,1.9,1.9,null
00:01:28:240,4.749,0.496,1.9,1.9,null
00:01:28:250,4.749,0.496,1.9,1.9,null
00:01:28:260,4.749,0.496,1.9,1.9,null
00:01:28:270,4.749,0.496,1.9,1.9,null
00:01:28:280,4.749,0.496,1.9,1.9,null
00:01:28:290,4.749,0.496,1.9,1.9,null
00:01:28:300,4.749,0.496,1.9,1.9,null
00:01:28:310,4.749,0.496,1.9,1.9,null
00:01:28:320,4.749,0.496,1.9,1.9,null
00:01:28:330,4.749,0.496,1.9,1.9,null
00:01:28:340,4.749,0.496,1.9,1.9,null
00:01:28:350,4.749,0.496,1.9,1.9,null
00:01:28:360,4.749,0.496,1.9,1.9,null
00:01:28:370,4.749,0.496,1.9,1.9,null
00:01:28:380,4.749,0.496,1.9,1.9,null
00:01:28:390,4.749,0.496,1.9,1.9,null
00:01:28:400,4.749,0.496,1.9,1.9,null
00:01:28:410,4.749,0.496,1.9,1.9,null
00:01:28:420,4.749,0.496,1.9,1.9,null
00:01:28:430,4.749,0.496,1.9,1.9,null
00:01:28:440,4.749,0.496,1.9,1.9,null
00:01:28:450,4.749,0.496,1.9,1.9,null
00:01:28:460,4.749,0.496,1.9,1.9,null
00:01:28:470,4.749,0.496,1.9,1.9,null
00:01:28:480,4.749,0.496,1.9,1.9,null
00:01:28:490,4.749,0.496,1.9,1.9,null
00:01:28:500,4.749,0.496,1.9,1.9,null
00:01:28:510,4.749,0.496,1.9,1.9,null
00:01:28:520,4.749,0.496,1.9,1.9,null
00:01:28:530,4.749,0.496,1.9,1.9,null
00:01:28:540,4.749,0.496,1.9,1.9,null
00:01:28:550,4.749,0.496,1.9,1.9,null
00:01:28:560,4.749,0.496,1.9,1.9,null
00:01:28:570,4.749,0.496,1.9,1.9,null
00:01:28:580,4.749,0.496,1.9,1.9,null
00:01:28:590,4.749,0.496,1.9,1.9,null
00:01:28:600,4.749,0.496,1.9,1.9,null
00:01:28:610,4.749,0.496,1.9,1.9,null
00:01:28:620,4.749,0.496,1.9,1.9,null
00:01:28:630,4.749,0.496,1.9,1.9,null
00:01:28:640,4.749,0.496,1.9,1.9,null
00:01:28:650,4.749,0.496,1.9,1.9,null
00:01:28:660,4.749,0.496,1.9,1.9,null
00:01:28:670,4.749,0.496,1.9,1.9,null
00:01:28:680,4.749,0.496,1.9,1.9,null
00:01:28:690,4.749,0.496,1.9,1.9,null
00:01:28:700,4.749,0.496,1.9,1.9,null
00:01:28:710,4.749,0.496,1.9,1.9,null
00:01:28:720,4.749,0.496,1.9,1.9,null
00:01:28:730,4.749,0.496,1.9,1.9,null
00:01:28:740,4.749,0.496,1.9,1.9,null
00:01:28:750,4.749,0.496,1.9,1.9,null
00:01:28:760,4.749,0.496,1.9,1.9,null
00:01:28:770,4.749,0.496,1.9,1.9,null
00:01:28:780,4.749,0.496,1.9,1.9,null
00:01:28:790,4.749,0.496,1.9,1.9,null
00:01:28:800,4.749,0.496,1.9,1.9,null
00:01:28:810,4.749,0.496,1.9,1.9,null
00:01:28:820,4.749,0.496,1.9,1.9,null
00:01:28:830,4.749,0.496,1.9,1.9,null
00:01:28:840,4.749,0.496,1.9,1.9,null
00:01:28:850,4.749,0.496,1.9,1.9,null
00:01:28:860,4.749,0.496,1.9,1.9,null
00:01:28:870,4.749,0.496,1.9,1.9,null
00:01:28:880,4.749,0.496,1.9,1.9,null
00:01:28:890,4.749,0.496,1.9,1.9,null
00:01:28:900,4.749,0.496,1.9,1.9,null
00:01:28:910,4.749,0.496,1.9,1.9,null
00:01:28:920,4.749,0.496,1.9,1.9,null
00:01:28:930,4.749,0.496,1.9,1.9,null
00:01:28:940,4.749,0.496,1.9,1.9,null
00:01:28:950,4.749,0.496,1.9,1.9,null
00:01:28:960,4.749,0.496,1.9,1.9,null
00:01:28:970,4.749,0.496,1.9,1.9,null
00:01:28:980,4.749,0.496,1.9,1.9,null
00:01:28:990,4.749,0.496,1.9,1.9,null
00:01:29:000,4.749,0.496,1.9,1.9,null
00:01:29:010,4.749,0.496,1.9,1.9,null
00:01:29:020,4.749,0.496,1.9,1.9,null
00:01:29:030,4.749,0.496,1.9,1.9,null
00:01:29:040,4.749,0.496,1.9,1.9,null
00:01:29:050,4.749,0.496,1.9,1.9,null
00:01:29:060,4.749,0.496,1.9,1.9,null
00:01:29:070,4.749,0.496,1.9,1.9,null
00:01:29:080,4.749,0.496,1.9,1.9,null
00:01:29:090,4.749,0.496,1.9,1.9,null
00:01:29:100,4.749,0.496,1.9,1.9,null
00:01:29:110,4.749,0.496,1.9,1.9,null
00:01:29:120,4.749,0.496,1.9,1.9,null
00:01:29:130,4.749,0.496,1.9,1.9,null
00:01:29:140,4.749,0.496,1.9,1.9,null
00:01:29:150,4.749,0.496,1.9,1.9,null
00:01:29:160,4.749,0.496,1.9,1.9,null
00:01:29:170,4.749,0.496,1.9,1.9,null
00:01:29:180,4.749,0.496,1.9,1.9,null
00:01:29:190,4.749,0.496,1.9,1.9,null
00:01:29:200,4.749,0.496,1.9,1.9,null
00:01:29:210,4.749,0.496,1.9,1.9,null
00:01:29:220,4.749,0.496,1.9,1.9,null
00:01:29:230,4.749,0.496,1.9,1.9,null
00:01:29:240,4.749,0.496,1.9,1.9,null
00:01:29:250,4.749,0.496,1.9,1.9,null
00:01:29:260,4.749,0.496,1.9,1.9,null
00:01:29:270,4.749,0.496,1.9,1.9,null
00:01:29:280,4.749,0.496,1.9,1.9,null
00:01:29:290,4.749,0.496,1.9,1.9,null
00:01:29:300,4.749,0.496,1.9,1.9,null
00:01:29:310,4.749,0.496,1.9,1.9,null
00:01:29:320,4.749,0.496,1.9,1.9,null
00:01:29:330,4.749,0.496,1.9,1.9,null
00:01:29:340,4.749,0.496,1.9,1.9,null
00:01:29:350,4.749,0.496,1.9,1.9,null
00:01:29:360,4.749,0.496,1.9,1.9,null
00:01:29:370,4.749,0.496,1.9,1.9,null
00:01:29:380,4.749,0.496,1.9,1.9,null
00:01:29:390,4.749,0.496,1.9,1.9,null
00:01:29:400,4.749,0.496,1.9,1.9,null
00:01:29:410,4.749,0.496,1.9,1.9,null
00:01:29:420,4.749,0.496,1.9,1.9,null
00:01:29:430,4.749,0.496,1.9,1.9,null
00:01:29:440,4.749,0.496,1.9,1.9,null
00:01:29:450,4.749,0.496,1.9,1.9,null
00:01:29:460,4.749,0.496,1.9,1.9,null
00:01:29:470,4.749,0.496,1.9,1.9,null
00:01:29:480,4.749,0.496,1.9,1.9,null
00:01:29:490,4.749,0.496,1.9,1.9,null
00:01:29:500,4.749,0.496,1.9,1.9,null
00:01:29:510,4.749,0.496,1.9,1.9,null
00:01:29:520,4.749,0.496,1.9,1.9,null
00:01:29:530,4.749,0.496,1.9,1.9,null
00:01:29:540,4.749,0.496,1.9,1.9,null
00:01:29:550,4.749,0.496,1.9,1.9,null
00:01:29:560,4.749,0.496,1.9,1.9,null
00:01:29:570,4.749,0.496,1.9,1.9,null
00:01:29:580,4.749,0.496,1.9,1.9,null
00:01:29:590,4.749,0.496,1.9,1.9,null
00:01:29:600,4.749,0.496,1.9,1.9,null
00:01:29:610,4.749,0.496,1.9,1.9,null
00:01:29:620,4.749,0.496,1.9,1.9,null
00:01:29:630,4.749,0.496,1.9,1.9,null
00:01:29:640,4.749,0.496,1.9,1.9,null
00:01:29:650,4.749,0.496,1.9,1.9,null
00:01:29:660,4.749,0.496,1.9,1.9,null
00:01:29:670,4.749,0.496,1.9,1.9,null
00:01:29:680,4.749,0.496,1.9,1.9,null
00:01:29:690,4.749,0.496,1.9,1.9,null
00:01:29:700,4.749,0.496,1.9,1.9,null
00:01:29:710,4.749,0.496,1.9,1.9,null
00:01:29:720,4.749,0.496,1.9,1.9,null
00:01:29:730,4.749,0.496,1.9,1.9,null
00:01:29:740,4.749,0.496,1.9,1.9,null
00:01:29:750,4.749,0.496,1.9,1.9,null
00:01:29:760,4.749,0.496,1.9,1.9,null
00:01:29:770,4.749,0.496,1.9,1.9,null
00:01:29:780,4.749,0.496,1.9,1.9,null
00:01:29:790,4.749,0.496,1.9,1.9,null
00:01:29:800,4.749,0.496,1.9,1.9,null
00:01:29:810,4.749,0.496,1.9,1.9,null
00:01:29:820,4.749,0.496,1.9,1.9,null
00:01:29:830,4.749,0.496,1.9,1.9,null
00:01:29:840,4.749,0.496,1.9,1.9,null
00:01:29:850,4.749,0.496,1.9,1.9,null
00:01:29:860,4.749,0.496,1.9,1.9,null
00:01:29:870,4.749,0.496,1.9,1.9,null
00:01:29:880,4.749,0.496,1.9,1.9,null
00:01:29:890,4.749,0.496,1.9,1.9,null
00:01:29:900,4.749,0.496,1.9,1.9,null
00:01:29:910,4.749,0.496,1.9,1.9,null
00:01:29:920,4.749,0.496,1.9,1.9,null
00:01:29:930,4.749,0.496,1.9,1.9,null
00:01:29:940,4.749,0.496,1.9,1.9,null
00:01:29:950,4.749,0.496,1.9,1.9,null
00:01:29:960,4.749,0.496,1.9,1.9,null
00:01:29:970,4.749,0.496,1.9,1.9,null
00:01:29:980,4.749,0.496,1.9,1.9,null
00:01:29:990,4.749,0.496,1.9,1.9,null
00:01:30:000,4.749,0.496,1.9,1.9,null
00:01:30:010,4.749,0.496,1.9,1.9,null
00:01:30:020,4.749,0.496,1.9,1.9,null
00:01:30:030,4.749,0.496,1.9,1.9,null
00:01:30:040,4.749,0.496,1.9,1.9,null
00:01:30:050,4.749,0.496,1.9,1.9,null
00:01:30:060,4.749,0.496,1.9,1.9,null
00:01:30:070,4.749,0.496,1.9,1.9,null
00:01:30:080,4.749,0.496,1.9,1.9,null
00:01:30:090,4.749,0.496,1.9,1.9,null
00:01:30:100,4.749,0.496,1.9,1.9,null
00:01:30:110,4.749,0.496,1.9,1.9,null
00:01:30:120,4.749,0.496,1.9,1.9,null
00:01:30:130,4.749,0.496,1.9,1.9,null
00:01:30:140,4.749,0.496,1.9,1.9,null
00:01:30:150,4.749,0.496,1.9,1.9,null
00:01:30:160,4.749,0.496,1.9,1.9,null
00:01:30:170,4.749,0.496,1.9,1.9,null
00:01:30:180,4.749,0.496,1.9,1.9,null
00:01:30:190,4.749,0.496,1.9,1.9,null
00:01:30:200,4.749,0.496,1.9,1.9,null
00:01:30:210,4.749,0.496,1.9,1.9,null
00:01:30:220,4.749,0.496,1.9,1.9,null
00:01:30:230,4.749,0.496,1.9,1.9,null
00:01:30:240,4.749,0.496,1.9,1.9,null
00:01:30:250,4.749,0.496,1.9,1.9,null
00:01:30:260,4.749,0.496,1.9,1.9,null
00:01:30:270,4.749,0.496,1.9,1.9,null
00:01:30:280,4.749,0.496,1.9,1.9,null
00:01:30:290,4.749,0.496,1.9,1.9,null
00:01:30:300,4.749,0.496,1.9,1.9,null
00:01:30:310,4.749,0.496,1.9,1.9,null
00:01:30:320,4.749,0.496,1.9,1.9,null
00:01:30:330,4.749,0.496,1.9,1.9,null
00:01:30:340,4.749,0.496,1.9,1.9,null
00:01:30:350,4.749,0.496,1.9,1.9,null
00:01:30:360,4.749,0.496,1.9,1.9,null
00:01:30:370,4.749,0.496,1.9,1.9,null
00:01:30:380,4.749,0.496,1.9,1.9,null
00:01:30:390,4.749,0.496,1.9,1.9,null
00:01:30:400,4.749,0.496,1.9,1.9,null
00:01:30:410,4.749,0.496,1.9,1.9,null
00:01:30:420,4.749,0.496,1.9,1.9,null
00:01:30:430,4.749,0.496,1.9,1.9,null
00:01:30:440,4.749,0.496,1.9,1.9,null
00:01:30:450,4.749,0.496,1.9,1.9,null
00:01:30:460,4.749,0.496,1.9,1.9,null
00:01:30:470,4.749,0.496,1.9,1.9,null
00:01:30:480,4.749,0.496,1.9,1.9,null
00:01:30:490,4.749,0.496,1.9,1.9,null
00:01:30:500,4.749,0.496,1.9,1.9,null
00:01:30:510,4.749,0.496,1.9,1.9,null
00:01:30:520,4.749,0.496,1.9,1.9,null
00:01:30:530,4.749,0.496,1.9,1.9,null
00:01:30:540,4.749,0.496,1.9,1.9,null
00:01:30:550,4.749,0.496,1.9,1.9,null
00:01:30:560,4.749,0.496,1.9,1.9,null
00:01:30:570,4.749,0.496,1.9,1.9,null
00:01:30:580,4.749,0.496,1.9,1.9,null
00:01:30:590,4.749,0.496,1.9,1.9,null
00:01:30:600,4.749,0.496,1.9,1.9,null
00:01:30:610,4.749,0.496,1.9,1.9,null
00:01:30:620,4.749,0.496,1.9,1.9,null
00:01:30:630,4.749,0.496,1.9,1.9,null
00:01:30:640,4.749,0.496,1.9,1.9,null
00:01:30:650,4.749,0.496,1.9,1.9,null
00:01:30:660,4.749,0.496,1.9,1.9,null
00:01:30:670,4.749,0.496,1.9,1.9,null
00:01:30:680,4.749,0.496,1.9,1.9,null
00:01:30:690,4.749,0.496,1.9,1.9,null
00:01:30:700,4.749,0.496,1.9,1.9,null
00:01:30:710,4.749,0.496,1.9,1.9,null
00:01:30:720,4.749,0.496,1.9,1.9,null
00:01:30:730,4.749,0.496,1.9,1.9,null
00:01:30:740,4.749,0.496,1.9,1.9,null
00:01:30:750,4.749,0.496,1.9,1.9,null
00:01:30:760,4.749,0.496,1.9,1.9,null
00:01:30:770,4.749,0.496,1.9,1.9,null
00:01:30:780,4.749,0.496,1.9,1.9,null
00:01:30:790,4.749,0.496,1.9,1.9,null
00:01:30:800,4.749,0.496,1.9,1.9,null
00:01:30:810,4.749,0.496,1.9,1.9,null
00:01:30:820,4.749,0.496,1.9,1.9,null
00:01:30:830,4.749,0.496,1.9,1.9,null
00:01:30:840,4.749,0.496,1.9,1.9,null
00:01:30:850,4.749,0.496,1.9,1.9,null
00:01:30:860,4.749,0.496,1.9,1.9,null
00:01:30:870,4.749,0.496,1.9,1.9,null
00:01:30:880,4.749,0.496,1.9,1.9,null
00:01:30:890,4.749,0.496,1.9,1.9,null
00:01:30:900,4.749,0.496,1.9,1.9,null
00:01:30:910,4.749,0.496,1.9,1.9,null
00:01:30:920,4.749,0.496,1.9,1.9,null
00:01:30:930,4.749,0.496,1.9,1.9,null
00:01:30:940,4.749,0.496,1.9,1.9,null
00:01:30:950,4.749,0.496,1.9,1.9,null
00:01:30:960,4.749,0.496,1.9,1.9,null
00:01:30:970,4.749,0.496,1.9,1.9,null
00:01:30:980,4.749,0.496,1.9,1.9,null
00:01:30:990,4.749,0.496,1.9,1.9,null
00:01:31:000,4.749,0.496,1.9,1.9,null
00:01:31:010,4.749,0.496,1.9,1.9,null
